geo_label_citystate,date_label,strata_race_label,strata_sex_label,Adult Binge Drinking,Adult Mental Distress,Adult Obesity,Adult Physical Inactivity,Adult Smoking,All Cancer Deaths,Breast Cancer Deaths,COVID-19 Deaths,"COVID-19 Vaccination, Adults","COVID-19 Vaccination, Seniors",Cardiovascular Disease Deaths,Child Lead Levels,Child Lead Testing,Children,Climate-related  Disasters,College Graduates,Colorectal Cancer Deaths,Community Social Vulnerability to Climate Disasters,Deaths from All Causes,Dental Care,Diabetes,Diabetes Deaths,Drives Alone to Work,Drug Overdose Deaths,Electronic Bullying,Excessive Housing Cost,Fighting in School,"Flu Vaccinations, Medicare",Foreign Born Population,Gun Deaths (Firearms),HIV-Related Deaths,HIV/AIDS Prevalence,Hazardous Air Quality,Heart Disease Deaths,High Blood Pressure,"Homeless, Children","Homeless, Total",Homicides,Household Income Inequality,Households with Higher-Incomes,Housing Lead Risk,Income Inequality,Infant Deaths,Injury Deaths,Lack of Car,Life Expectancy,Limited Supermarket Access,Longer Driving Commute Time,Longer Summers,Low Birthweight,Lung Cancer Deaths,Maternal Deaths,Minority Population,Motor Vehicle Deaths,New Chlamydia Cases,New Gonorrhea Cases,New Tuberculosis Cases,Number of Heat Waves,Opioid Overdose Deaths,Owner Occupied Housing,People with Disabilities,Per-capita Household Income,Pneumonia or Influenza Deaths,Police Killings,Poor Air Quality,Population Density,Poverty and Near Poverty in All Ages,Poverty in All Ages,Poverty in Children,Premature Death,Prenatal Care,Preschool Enrollment,Preterm Births,Primarily Speak Chinese,Primarily Speak English,Primarily Speak Spanish,Prostate Cancer Deaths,Public Assistance,Public Transportation Use,Racial Disparity in Police Killings,"Racial Segregation, White and Asian","Racial Segregation, White and Black","Racial Segregation, White and Hispanic","Racial Segregation, White and Non-White",Renters vs. Owners,Riding Bike to Work,School Bullying,Seniors,Service Workers,Single-Parent Families,Suicide,Syphilis Prevalence,"Syphilis, Newborns",Teen Alcohol,Teen Asthma,Teen Birth Control,Teen Births,Teen Breakfast,Teen Computer Time,Teen Marijuana,Teen Mental Distress,Teen Obesity,Teen Physical Activity,Teen Physical Education,Teen Physical Inactivity,Teen Smoking,Teen Soda,Teen Suicidal Ideation,Teen TV Time,Unemployment,"Uninsured, All Ages","Uninsured, Child",Vacant Housing Units,Vacant Housing and Homelessness,Violent Crime,Walking to Work,Weapons in School
"Austin, TX",2010,All,Both,21.4,10.1,25.3,20.3,14.1,155.0121655,19.97068927,,,,188.9291091,,,22.04468091,41.25,44.78169182,12.77803434,28.32369942,688.4098865,62.4,7.7,17.18095968,71.70185205,14.8143794,,,,50.0,19.08120494,7.79317832,2.551203752,442.7,2.191780822,139.0183077,23.4,,,3.955670262,0.003340583,51.89652475,6.288232493,0.4876,,65.42352643,7.104797372,,63.14366606,,50.90238095,7.836413514,35.9764409,16.82868955,51.36841684,8.533844633,565.9,140.2,6.5,7.769230769,5.316296067,45.06290051,8.49604215,31387.0,10.29937244,0.695747522,25.47945205,2685.086346,37.98052897,19.39894657,27.23602876,5094.792265,68.06582572,42.98900322,,,,,20.3938153,10.18525051,4.673878794,4.16935343,40.61898946,57.92412466,49.97393478,44.16342767,1.21912036,1.458997071,,6.921902795,32.72458,10.98588611,12.06194214,8.1,0.0,,,,46.31688603,,,,,,,,,,,,,7.334555582,,,8.145933655,,475.9452977,2.506039282,
"Austin, TX",2010,All,Female,,,,,,133.000095,,,,,153.5750842,,,,,,11.84385819,,587.9776467,,,16.74117481,,12.11040148,,,,,,2.424252248,,126.8,,104.0132076,,,,2.598894685,,,,,,44.11109397,,,,,,,27.7824158,,,4.109670849,,,,,4.224055566,,,,9.152035256,,,,,,,3807.898474,,,,,,,,,,,,,,,,,,,,,4.792585459,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,All,Male,,,,,,189.7602695,,,,,237.9129081,,,,,,13.69767157,,829.423526,,,17.84771037,,17.45165182,,,,,,13.4383718,3.998868276,755.0,,188.1989692,,,,5.251540797,,,,,,89.25090483,,,,,,,47.84770899,,,13.02870944,,,,,6.417004384,,,,12.23595392,,,,,,,6377.25679,,,,,,,,,,,,,,,,,,,,,19.86349818,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,American Indian/Alaska Native,Both,,,,,,,,,,,,,,,,21.33956386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.17751479,12.20579046,19801.0,,,,,,28.60142797,43.02884615,,,,,,,,,,,,,,,,0.992924528,,,,50.16820858,,,,,,,,,,,,,,,,,,,,,7.829457364,,,,,,,
"Austin, TX",2010,Asian,Both,,,,,,,,,,,,,,,,70.57371383,,,,,,,,,,,,,,,,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.01678708,2.973168963,31998.0,,,,,,16.84774675,7.837837838,,,,,,,,,,,,,,,,1.438026162,,,,18.85036711,,,,,,,,,,,,,,,,,,,,,6.419018225,,,,,,,
"Austin, TX",2010,Asian/PI,Both,,,,,,110.2149045,,,,,102.7632712,,,,,,,,392.403955,,,,,,,,,,,,,,,69.61796231,,,,,,,,,,27.99791817,,,,,,8.785405665,,,,,,,,,,,,,,,,,,,,2579.797021,82.2619623,,,,,,,,,,,,,,,,,,,,,,,,,,5.46000546,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,Asian/PI,Female,,,,,,79.0767511,,,,,71.38923082,,,,,,,,304.9997472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.151915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,Asian/PI,Male,,,,,,158.0413096,,,,,161.099229,,,,,,,,591.412447,,,,,,,,,,,,,,,111.1121059,,,,,,,,,,54.60338236,,,,,,,,,,,,,,,,,,,,,,,,,,3244.60378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin, TX",2010,Black,Both,,,,,,231.6289111,39.89371387,,,,275.5111508,,,,,21.48810121,21.40895751,,910.4160578,,,36.59403803,,23.6023676,,,,,,11.23645566,13.94872142,1209.3,,205.9905324,,,,10.4743466,,,,,,68.38893885,,,,,,14.07894737,51.94070369,64.9266329,,,,,,,,31.96699494,16.22406961,19782.0,13.21443941,4.656013707,,,,27.08774905,40.98975703,9309.636235,63.45984113,,,,,,37.68812958,,,,,,,,2.128226478,,,,36.02018503,,7.362212058,,,,,,80.9587217,,,,,,,,,,,,,12.96263762,,,,,,,
"Austin, TX",2010,Black,Female,,,,,,193.8349607,,,,,228.1356625,,,,,,19.47566794,,762.6494237,,,44.61118082,,,,,,,,,,,,165.9694955,,,,,,,,,,36.72725256,,,,,,,42.64307796,,,,,,,,,,,,,,,,,,,7672.368289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
